cluster,branch,J2,D,chi,h,energy_per_site,delta,middle_fraction,clock_z6,texture,rank1,rank2,rank3,rank1_group,rank2_group,rank3_group,gap_1_to_2,gap_2_to_3,chi_energy_shift,hours_budget,path
Izar,dimer-plaquette,0.32,8,104,0.08,-0.4561733134706,0.5764980843926,0.9967157539853843,-0.9950574869950197,dimer-plaquette,-0.67923559250795,-0.10463086965145,-0.10273750811535,0,1,2,0.5746047228565,0.0018933615361000078,3.175059329996177e-05,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_8\orientation_0\dimer-plaquette\replica_1\h_0p08\D_8_chi_104_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.32,8,104,0.04,-0.4351844340206,0.46904860292475004,0.9904653680770743,-0.98556255509257,dimer-plaquette,-0.6201609332261501,-0.15558453608425002,-0.1511123303014,0,1,2,0.4645763971419,0.004472205782850014,2.8792641899977323e-05,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_8\orientation_0\dimer-plaquette\replica_1\h_0p04\D_8_chi_104_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.32,8,104,0.02,-0.4266375856052,0.39403859376855,0.9573620631190795,-0.9333936196854145,dimer-plaquette,-0.5721337111490999,-0.19489611007030003,-0.17809511738054998,0,1,2,0.3772376010787999,0.01680099268975005,2.3571313500003743e-05,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_8\orientation_0\dimer-plaquette\replica_1\h_0p02\D_8_chi_104_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.32,8,104,0.01,-0.4230323035054,0.35252414440830004,0.8972225140928619,-0.8310746140575236,dimer-plaquette,-0.5406230204345001,-0.22433042131005,-0.1880988760262,0,1,2,0.31629259912445007,0.036231545283849975,2.0621432100020876e-05,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_8\orientation_0\dimer-plaquette\replica_1\h_0p01\D_8_chi_104_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.32,8,104,0.0,-0.4207319760275,0.25439815025025003,0.05881385135792812,0.9067940604723431,plaquette,-0.40938300291220003,-0.39442086791764996,-0.15498485266195,1,2,0,0.01496213499455007,0.23943601525569996,1.207017099991159e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_8\orientation_0\dimer-plaquette\replica_1\h_0p0\D_8_chi_104_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.32,9,108,0.08,-0.4563248469426,0.5729177516388,0.9990324763125868,-0.9985473112214529,dimer-plaquette,-0.6773665340695,-0.10500309392634999,-0.1044487824307,2,1,0,0.57236344014315,0.000554311495649995,5.9662863999832005e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_9\orientation_2\dimer-plaquette\replica_1\h_0p08\D_9_chi_108_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.32,9,108,0.04,-0.4354982391485,0.46092477386530006,0.9973894685853844,-0.99607399835712,dimer-plaquette,-0.6157114498459001,-0.15598993458255,-0.1547866759806,2,0,1,0.4597215152633501,0.0012032586019500024,3.8426642400002375e-05,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_9\orientation_2\dimer-plaquette\replica_1\h_0p04\D_9_chi_108_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.32,9,108,0.02,-0.427092311829,0.37655341617000004,0.9980039811789657,-0.9970000035840687,dimer-plaquette,-0.5654228375554,-0.18962102909120002,-0.1888694213854,2,0,1,0.37580180846419997,0.000751607705800017,2.363843709995983e-05,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_9\orientation_2\dimer-plaquette\replica_1\h_0p02\D_9_chi_108_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.32,9,108,0.01,-0.4236025368616,0.3226287929949,0.9889280857812138,-0.9832096050210166,dimer-plaquette,-0.5310255969565,-0.21196892228215,-0.20839680396159999,2,0,1,0.31905667467434995,0.003572118320550016,2.4998654599983627e-05,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_9\orientation_2\dimer-plaquette\replica_1\h_0p01\D_9_chi_108_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.32,9,108,0.0,-0.4208959897026,0.24562698835420002,0.25291496134503577,0.5408565442445573,three-distinct/mixed,-0.4221538373272,-0.36003109706229997,-0.176526848973,2,0,1,0.062122740264900056,0.18350424808929997,1.10623848000313e-05,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_9\orientation_2\dimer-plaquette\replica_1\h_0p0\D_9_chi_108_energy_magnetization_correlation.txt
