path,J2,D,chi,energy_per_site,G0,G1,G2,group_internal_std_max,rank1,rank2,rank3,delta,gap_strong_middle,gap_middle_weak,middle_fraction,clock_z6,texture
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_2\energy_magnetization_correlation.txt,0.27,2,20,-0.4075619908147,-0.3476180882378,-0.3476560735057,-0.34761635099739996,6.953000120102359e-10,-0.3476560735057,-0.3476180882378,-0.34761635099739996,3.972250830003299e-05,3.798526789999812e-05,1.7372404000348673e-06,0.9562655916158893,-0.9316129904430592,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_3\energy_magnetization_correlation.txt,0.27,3,24,-0.4264501854697,-0.34368739195485,-0.34368158631320006,-0.3436452546443,1.1114530500122566e-06,-0.34368739195485,-0.34368158631320006,-0.3436452546443,4.213731054997227e-05,5.805641649925253e-06,3.633166890004702e-05,0.1377791219741022,0.7674721603393997,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_4\energy_magnetization_correlation.txt,0.27,4,36,-0.4283980371341,-0.31753363797125,-0.34951394291495,-0.34933166715005,2.499157499835647e-07,-0.34951394291495,-0.34933166715005,-0.31753363797125,0.03198030494370002,0.00018227576490004171,0.03179802917879998,0.0056996256046004095,0.9914020181515657,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_5\energy_magnetization_correlation.txt,0.27,5,50,-0.4303610380026,-0.26684853723325,-0.47484864856705,-0.26321116742905,2.2797758500170406e-06,-0.47484864856705,-0.26684853723325,-0.26321116742905,0.21163748113800002,0.20800011133379998,0.0036373698042000413,0.9828132059376181,-0.9737818068076767,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_6\energy_magnetization_correlation.txt,0.27,6,72,-0.4309779074683,-0.47155352294050007,-0.27767107532575,-0.2514718950423,4.135919000058941e-07,-0.47155352294050007,-0.27767107532575,-0.2514718950423,0.22008162789820007,0.19388244761475004,0.02619918028345003,0.8809569861253089,-0.8018656074784448,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_7\energy_magnetization_correlation.txt,0.27,7,91,-0.4313330541337,-0.3634421791111,-0.3302946542487,-0.3144790704787,2.8211889999962825e-06,-0.3634421791111,-0.3302946542487,-0.3144790704787,0.0489631086324,0.03314752486239997,0.01581558377000003,0.6769897947301797,-0.39268276425029386,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_8\energy_magnetization_correlation.txt,0.27,8,104,-0.4316550562418,-0.33090062976525,-0.3368129293641,-0.33861760127485,1.2362958049988437e-05,-0.33861760127485,-0.3368129293641,-0.33090062976525,0.007716971509600046,0.0018046719107500109,0.005912299598850035,0.2338575318704971,0.5799691996664365,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_9\energy_magnetization_correlation.txt,0.27,9,108,-0.4319224900806,-0.34412055860069996,-0.3280500071935,-0.3322081871856,1.1173593899987955e-05,-0.34412055860069996,-0.3322081871856,-0.3280500071935,0.01607055140719993,0.011912371415099932,0.004158179992099997,0.7412546784028177,-0.5287810825663157,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_10\energy_magnetization_correlation.txt,0.27,10,160,-0.4320399938912,-0.3375670253172,-0.33427921063535,-0.33216181676055,2.2125786650006862e-05,-0.3375670253172,-0.33427921063535,-0.33216181676055,0.0054052085566499986,0.003287814681850021,0.0021173938747999776,0.6082678674451961,-0.24233359326683168,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_2\energy_magnetization_correlation.txt,0.275,2,16,-0.4054568978364,-0.34736001392669996,-0.34734393066505004,-0.34734451221435,2.1854998366599432e-10,-0.34736001392669996,-0.34734451221435,-0.34734393066505004,1.608326164992402e-05,1.5501712349985652e-05,5.815492999383665e-07,0.9638413331451886,-0.9438481015543516,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_3\energy_magnetization_correlation.txt,0.275,3,24,-0.4248082129126,-0.34313248905344995,-0.3430954602634,-0.34315847271645,2.6608902500002696e-06,-0.34315847271645,-0.34313248905344995,-0.3430954602634,6.301245305001535e-05,2.598366300005095e-05,3.70287900499644e-05,0.41235758556212276,0.1965222341997214,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_4\energy_magnetization_correlation.txt,0.275,4,36,-0.4273483218967,-0.2647095581775,-0.2656680075349,-0.48312280177795003,1.0853909300001519e-05,-0.48312280177795003,-0.2656680075349,-0.2647095581775,0.21841324360045,0.21745479424305003,0.0009584493573999708,0.9956117617155428,-0.9933888421231556,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_5\energy_magnetization_correlation.txt,0.275,5,50,-0.4290383026651,-0.26289574273849997,-0.25983556453990003,-0.4790185509239,2.239549600019375e-06,-0.4790185509239,-0.26289574273849997,-0.25983556453990003,0.21918298638399997,0.21612280818540003,0.0030601781985999388,0.9860382493683217,-0.9787676999021941,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_6\energy_magnetization_correlation.txt,0.275,6,72,-0.4297234152874,-0.47788281843815,-0.25853717806115,-0.25980009566945,7.44463049984212e-07,-0.47788281843815,-0.25980009566945,-0.25853717806115,0.219345640377,0.2180827227687,0.001262917608299996,0.9942423400523057,-0.9913139749765081,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_7\energy_magnetization_correlation.txt,0.275,7,91,-0.4300468913218,-0.38544195162915,-0.22679958353205,-0.38781014151939996,2.416226399987176e-06,-0.38781014151939996,-0.38544195162915,-0.22679958353205,0.16101055798734998,0.00236818989024995,0.15864236809710003,0.014708289442956964,0.9776162470678857,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_8\energy_magnetization_correlation.txt,0.275,8,112,-0.4303882490411,-0.3390522824381,-0.3379938690443,-0.3253672739057,9.74261119998654e-06,-0.3390522824381,-0.3379938690443,-0.3253672739057,0.013685008532399956,0.001058413393799973,0.012626595138599983,0.07734108395286164,0.8754785359442857,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_9\energy_magnetization_correlation.txt,0.275,9,162,-0.4306492031144,-0.33719306095710005,-0.3127254302265,-0.35026724528355,5.668797300018014e-06,-0.35026724528355,-0.33719306095710005,-0.3127254302265,0.03754181505705001,0.013074184326449967,0.024467630730600043,0.34825658553221056,0.33792862900454973,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_10\energy_magnetization_correlation.txt,0.275,10,160,-0.4307514424297,-0.31485197441755003,-0.35488708585144996,-0.3300447835095,8.70870039998417e-06,-0.35488708585144996,-0.3300447835095,-0.31485197441755003,0.04003511143389993,0.02484230234194995,0.015192809091949977,0.6205128811235082,-0.2694037312315092,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_11\energy_magnetization_correlation.txt,0.275,11,132,-0.4308055188782,-0.3254750793695,-0.30864933831945,-0.3651946352921,2.7569270550004132e-05,-0.3651946352921,-0.3254750793695,-0.30864933831945,0.05654529697264998,0.039719555922600014,0.01682574105004997,0.7024378338982232,-0.4471890058946174,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_2\energy_magnetization_correlation.txt,0.28,2,16,-0.4033595329402,-0.3470424559329,-0.34707385811464997,-0.34708173858965,1.9761499936432614e-09,-0.34708173858965,-0.34707385811464997,-0.3470424559329,3.9282656750017075e-05,7.880475000054954e-06,3.140218174996212e-05,0.20060952216658637,0.6467928119692828,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_3\energy_magnetization_correlation.txt,0.28,3,24,-0.4230987803018,-0.34087937858215,-0.34868607105135,-0.33847914445535005,1.0562765450000677e-05,-0.34868607105135,-0.34087937858215,-0.33847914445535005,0.010206926595999977,0.007806692469200016,0.0024002341267999605,0.7648426189583263,-0.5773194042199036,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_4\energy_magnetization_correlation.txt,0.28,4,36,-0.4259158900326,-0.26052982953715,-0.48849674252775,-0.26181898783295005,9.115386549990445e-06,-0.48849674252775,-0.26181898783295005,-0.26052982953715,0.2279669129906,0.22667775469479995,0.0012891582958000636,0.9943449762999018,-0.9914696763539406,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_5\energy_magnetization_correlation.txt,0.28,5,50,-0.4277485793095,-0.25553932188455003,-0.2609023374346,-0.4821927192756,2.5074646000100564e-06,-0.4821927192756,-0.2609023374346,-0.25553932188455003,0.22665339739104995,0.22129038184099997,0.0053630155500499765,0.9763382520986569,-0.9636808083768807,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_6\energy_magnetization_correlation.txt,0.28,6,72,-0.4284879576922,-0.25504473233515,-0.25713815293994996,-0.4805231309269,6.025631500150563e-07,-0.4805231309269,-0.25713815293994996,-0.25504473233515,0.22547839859175,0.22338497798695006,0.002093420604799945,0.990715648958505,-0.9859449749797582,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_7\energy_magnetization_correlation.txt,0.28,7,91,-0.4289195349411,-0.3998504474505,-0.39947187419195,-0.19395787386095,3.5653590000073176e-06,-0.3998504474505,-0.39947187419195,-0.19395787386095,0.20589257358955002,0.0003785732585500079,0.205514000331,0.0018386931201544911,0.9972368953474231,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_8\energy_magnetization_correlation.txt,0.28,8,104,-0.4291893313359,-0.20720584308005,-0.38566676350415,-0.4000806136121,2.9580007999963076e-06,-0.4000806136121,-0.38566676350415,-0.20720584308005,0.19287477053205002,0.014413850107949988,0.17846092042410003,0.07473165136211964,0.8799426561837415,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_9\energy_magnetization_correlation.txt,0.28,9,162,-0.4294108101266,-0.37271205817709996,-0.35561871215755003,-0.26681356021095,5.498693550015643e-06,-0.37271205817709996,-0.35561871215755003,-0.26681356021095,0.10589849796614997,0.017093346019549926,0.08880515194660005,0.16141254453876905,0.7230056128645235,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_10\energy_magnetization_correlation.txt,0.28,10,140,-0.4295193839466,-0.2725748883042,-0.36840765220485,-0.35407563896575,1.7684641449994265e-05,-0.36840765220485,-0.35407563896575,-0.2725748883042,0.09583276390064999,0.014332013239099994,0.08150075066154999,0.1495523311208891,0.7454675261474143,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_11\energy_magnetization_correlation.txt,0.28,11,132,-0.4296290863775,-0.29064375714499996,-0.3410789188706,-0.3636723918699,6.244192579998864e-05,-0.3636723918699,-0.3410789188706,-0.29064375714499996,0.07302863472490007,0.022593472999300035,0.05043516172560003,0.3093782744865761,0.42197232896248654,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_2\energy_magnetization_correlation.txt,0.29,2,16,-0.399187520288,-0.34651139557065,-0.34648844466420003,-0.34648674768669996,6.810500219334159e-10,-0.34651139557065,-0.34648844466420003,-0.34648674768669996,2.464788395006856e-05,2.2950906449992203e-05,1.6969775000763576e-06,0.9311511891441034,-0.8899428998785478,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_3\energy_magnetization_correlation.txt,0.29,3,30,-0.4199728051875,-0.3415340809308,-0.34144182078225,-0.3414612103337,2.1317642000251436e-06,-0.3415340809308,-0.3414612103337,-0.34144182078225,9.22601485500163e-05,7.287059709998323e-05,1.938955145003307e-05,0.7898382806145,-0.6277879104338144,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_4\energy_magnetization_correlation.txt,0.29,4,36,-0.422690707873,-0.35071727328375,-0.30326634025215,-0.351103908509,2.0626876500173807e-06,-0.351103908509,-0.35071727328375,-0.30326634025215,0.04783756825684998,0.00038663522524995386,0.04745093303160003,0.008082250819565658,0.9877791675582628,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_5\energy_magnetization_correlation.txt,0.29,5,50,-0.4252467227038,-0.2494349968555,-0.48933934773715,-0.2534753807531,2.3639136000064287e-06,-0.48933934773715,-0.2534753807531,-0.2494349968555,0.23990435088165,0.23586396698405,0.004040383897600003,0.9831583550579572,-0.9743168480614912,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_6\energy_magnetization_correlation.txt,0.29,6,72,-0.4261398470472,-0.24902980949565,-0.24912820203325,-0.4871036708928,1.0443349000022195e-06,-0.4871036708928,-0.24912820203325,-0.24902980949565,0.23807386139714998,0.23797546885954998,9.8392537599995e-05,0.9995867142364031,-0.9993798152175118,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_7\energy_magnetization_correlation.txt,0.29,7,91,-0.4264626942928,-0.47914727455005,-0.23195352816284998,-0.27271789419725,3.9117944999889076e-07,-0.47914727455005,-0.27271789419725,-0.23195352816284998,0.24719374638720004,0.2064293803528,0.040764366034400035,0.8350914348352995,-0.7163295611533542,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_8\energy_magnetization_correlation.txt,0.29,8,104,-0.4268483479623,-0.41524805718889995,-0.37408820891945,-0.19548410820635,3.5493790999929775e-06,-0.41524805718889995,-0.37408820891945,-0.19548410820635,0.21976394898254994,0.04115984826944996,0.17860410071309998,0.18729117519051408,0.6730160576615193,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_9\energy_magnetization_correlation.txt,0.29,9,108,-0.4270572980804,-0.35857979275615004,-0.2267067553111,-0.40040651820874995,1.0891242150007363e-05,-0.40040651820874995,-0.35857979275615004,-0.2267067553111,0.17369976289764996,0.04182672545259991,0.13187303744505005,0.24079897839150013,0.5657878340211158,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_10\energy_magnetization_correlation.txt,0.29,10,160,-0.4271813261246,-0.3846884650363,-0.37373016543035,-0.22722628029545,2.4414357299995526e-05,-0.3846884650363,-0.37373016543035,-0.22722628029545,0.15746218474085,0.010958299605950017,0.14650388513489998,0.06959321454852858,0.888682409846587,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_11\energy_magnetization_correlation.txt,0.29,11,132,-0.4272115104186,-0.4045695440132,-0.23359238971925,-0.3470015180324,1.5168579449997832e-05,-0.4045695440132,-0.3470015180324,-0.23359238971925,0.17097715429395,0.05756802598080002,0.11340912831314998,0.3367001060377167,0.3630700667612206,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_2\energy_magnetization_correlation.txt,0.3,2,16,-0.3950449798745,-0.3459320858935,-0.34592405838055,-0.3459212974655,2.9325000761026843e-10,-0.3459320858935,-0.34592405838055,-0.3459212974655,1.0788428000008121e-05,8.02751294998183e-06,2.7609150500262913e-06,0.7440855099534229,-0.5346503352804665,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_3\energy_magnetization_correlation.txt,0.3,3,30,-0.4168204665912,-0.3403196900815,-0.34039162800934997,-0.3403521204046,3.5307297499842516e-06,-0.34039162800934997,-0.3403521204046,-0.3403196900815,7.193792784998543e-05,3.950760474996651e-05,3.243032310001892e-05,0.5491901967534155,-0.11055891838513524,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_4\energy_magnetization_correlation.txt,0.3,4,36,-0.4195672180976,-0.3318420827507,-0.33187031273145,-0.33187594495449996,4.255513000039901e-07,-0.33187594495449996,-0.33187031273145,-0.3318420827507,3.386220379997251e-05,5.63222304994504e-06,2.8229980750027472e-05,0.1663277169795314,0.713612501604141,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_5\energy_magnetization_correlation.txt,0.3,5,50,-0.4228575645321,-0.24988564497824997,-0.2405537296829,-0.49539137371900005,2.220755500006999e-06,-0.49539137371900005,-0.24988564497824997,-0.2405537296829,0.25483764403610004,0.24550572874075008,0.009331915295349963,0.9633809387516233,-0.943109079194325,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_6\energy_magnetization_correlation.txt,0.3,6,72,-0.423910796932,-0.49279050374930006,-0.24152967507595002,-0.2433962906857,1.459540849998997e-06,-0.49279050374930006,-0.2433962906857,-0.24152967507595002,0.25126082867335003,0.24939421306360005,0.0018666156097499886,0.9925710043240498,-0.9887741315270435,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_7\energy_magnetization_correlation.txt,0.3,7,91,-0.4242729290438,-0.4756805434383,-0.30068498572905,-0.19942370136645002,8.830471500131942e-07,-0.4756805434383,-0.30068498572905,-0.19942370136645002,0.27625684207185,0.17499555770925002,0.10126128436259998,0.6334523930586902,-0.29789115848788894,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_8\energy_magnetization_correlation.txt,0.3,8,104,-0.4246130246619,-0.24914865990995003,-0.249070925384,-0.4764076250642,1.562330200016726e-06,-0.4764076250642,-0.24914865990995003,-0.249070925384,0.22733669968019998,0.22725896515424995,7.77345259500295e-05,0.9996580643333902,-0.9994869211600648,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_9\energy_magnetization_correlation.txt,0.3,9,162,-0.4248712511494,-0.20150947044445,-0.38779609943904997,-0.3872725273683,7.771995000072085e-07,-0.38779609943904997,-0.3872725273683,-0.20150947044445,0.18628662899459997,0.0005235720707499891,0.18576305692384998,0.0028105724687581646,0.9957723145220646,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_10\energy_magnetization_correlation.txt,0.3,10,160,-0.425007050824,-0.20555965008055,-0.3705820601736,-0.40044283449609996,1.2936782800010427e-05,-0.40044283449609996,-0.3705820601736,-0.20555965008055,0.19488318441554997,0.02986077432249995,0.16502241009305002,0.1532239654850248,0.7385450048330678,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_11\energy_magnetization_correlation.txt,0.3,11,150,-0.4250380256901,-0.3792472208985,-0.20618344064355,-0.39072960296229997,2.1006042899979205e-05,-0.39072960296229997,-0.3792472208985,-0.20618344064355,0.18454616231874998,0.011482382063799978,0.17306378025495,0.06221956566058249,0.901104608991311,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p31\2tensor_twoC3\D_2\energy_magnetization_correlation.txt,0.31,2,16,-0.3909309439527,-0.3453867841814,-0.34532111761655,-0.34536132623795,3.6504999023634355e-10,-0.3453867841814,-0.34536132623795,-0.34532111761655,6.566656485001987e-05,2.5457943449991305e-05,4.0208621400028566e-05,0.3876850191286289,0.25129189223169834,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p31\2tensor_twoC3\D_3\energy_magnetization_correlation.txt,0.31,3,30,-0.4137250488099,-0.33912831535835,-0.3392225813032,-0.3392984825262,2.7396479000130203e-06,-0.3392984825262,-0.3392225813032,-0.33912831535835,0.00017016716785001051,7.590122299999669e-05,9.426594485001383e-05,0.44603917406028565,0.12125473681085883,three-distinct/mixed
