cluster,branch,J2,D,chi,h,energy_per_site,delta,middle_fraction,clock_z6,texture,rank1,rank2,rank3,rank1_group,rank2_group,rank3_group,gap_1_to_2,gap_2_to_3,chi_energy_shift,hours_budget,path
Izar,plaquette,0.29,8,104,0.08,-0.4554309679102,0.42239343393405493,0.0005887803729182173,0.9991163096512395,plaquette,-0.45223141410529993,-0.45198271714175003,-0.029837980171245,1,0,2,0.00024869696354989923,0.42214473697050503,1.3077557999841005e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.29\D_8\orientation_2\plaquette\replica_1\h_0p08\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.29,8,104,0.04,-0.4394110745314,0.372932171951965,0.0005065878937480578,0.999239733342443,plaquette,-0.44266835489285,-0.44247943196934997,-0.069736182940885,1,0,2,0.00018892292350003448,0.37274324902846495,6.315216999897011e-07,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.29\D_8\orientation_2\plaquette\replica_1\h_0p04\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.29,8,104,0.02,-0.4324006991224,0.3242345217573,0.0013504043890111693,0.9979716604910495,plaquette,-0.4309667572416,-0.43052890952035,-0.1067322354843,0,1,2,0.0004378477212499954,0.32379667403605,3.1359586999957223e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.29\D_8\orientation_2\plaquette\replica_1\h_0p02\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.29,8,104,0.01,-0.4293499838756,0.28345522908880005,0.00187947476507193,0.9971754958534071,plaquette,-0.41994781837745004,-0.41941507142734996,-0.13649258928865002,0,1,2,0.0005327469501000826,0.28292248213869997,2.5985673000050724e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.29\D_8\orientation_2\plaquette\replica_1\h_0p01\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.29,8,104,0.0,-0.4268665487844,0.20692101737699994,0.02491393863706639,0.9617134997265823,plaquette,-0.39887749039274994,-0.3937222728631,-0.19195647301575,1,0,2,0.005155217529649925,0.20176579984735002,3.341481200014318e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.29\D_8\orientation_2\plaquette\replica_1\h_0p0\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.29,9,108,0.08,-0.455458242341,0.42214026019094997,0.00015946542878785935,0.9997607637170391,plaquette,-0.4520278882042,-0.4519605714266,-0.029887628013249998,2,0,1,6.731677759996835e-05,0.42207294341335,1.4922981000364821e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.29\D_9\orientation_1\plaquette\replica_1\h_0p08\D_9_chi_108_energy_magnetization_correlation.txt
Izar,plaquette,0.29,9,108,0.04,-0.4394513834192,0.37237045017934495,0.0001898911446005955,0.9997151092019763,plaquette,-0.44236512116279997,-0.4422944113118,-0.069994670983455,2,0,1,7.070985099999483e-05,0.37229974032834495,2.2264421999929063e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.29\D_9\orientation_1\plaquette\replica_1\h_0p04\D_9_chi_108_energy_magnetization_correlation.txt
Izar,plaquette,0.29,9,108,0.02,-0.4324520279832,0.32284604811925,0.00077994658450016,0.9988291681226922,plaquette,-0.43036729246705,-0.43011548979450004,-0.10752124434780001,2,0,1,0.00025180267254998334,0.3225942454467,2.4657819999718278e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.29\D_9\orientation_1\plaquette\replica_1\h_0p02\D_9_chi_108_energy_magnetization_correlation.txt
