path,branch,replica,field,J2,D,chi,energy_per_site,chi_energy_shift,G0,G1,G2,delta,middle_fraction,clock_z6,texture,hours_budget
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\dimer-plaquette\replica_1\h_0p04\D_6_chi_72_energy_magnetization_correlation.txt,dimer-plaquette,1,0.04,0.3,6,72,-0.4382691172574,1.1239819996955447e-07,-0.6107160381645,-0.1663974977256,-0.16646057927415,0.44431854043890007,0.999858026296882,-0.9997870092133863,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\dimer-plaquette\replica_1\h_0p02\D_6_chi_72_energy_magnetization_correlation.txt,dimer-plaquette,1,0.02,0.3,6,72,-0.4301427706991,2.617042000330194e-07,-0.5637949293112,-0.19893592004930002,-0.1990777583865,0.36485900926189996,0.9996112516517356,-0.9994166508484358,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\dimer-plaquette\replica_1\h_0p01\D_6_chi_72_energy_magnetization_correlation.txt,dimer-plaquette,1,0.01,0.3,6,72,-0.4267402825938,5.426522999840699e-07,-0.5330646007751,-0.21839932323065,-0.21868863860235,0.31466527754444995,0.9990805614971003,-0.9986195749721727,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\dimer-plaquette\replica_1\h_0p0\D_6_chi_72_energy_magnetization_correlation.txt,dimer-plaquette,1,0.0,0.3,6,72,-0.4238934590345,4.3890239997956826e-07,-0.4939679807162,-0.2413981217532,-0.24238856658730001,0.252569858963,0.9960785311510781,-0.9940947901537437,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\plaquette\replica_1\h_0p08\D_6_chi_72_energy_magnetization_correlation.txt,plaquette,1,0.08,0.3,6,72,-0.4532938009913,1.1085555000067693e-06,-0.02019867561602,-0.45415531663329994,-0.45291006217045005,0.43395664101727993,0.0028695365968608674,0.9956833673727417,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\plaquette\replica_1\h_0p04\D_6_chi_72_energy_magnetization_correlation.txt,plaquette,1,0.04,0.3,6,72,-0.4371569588384,3.7786890000335305e-07,-0.059561369794465,-0.44916311434655,-0.44033014858680003,0.38960174455208496,0.022671781847139794,0.9652329662067116,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\plaquette\replica_1\h_0p02\D_6_chi_72_energy_magnetization_correlation.txt,plaquette,1,0.02,0.3,6,72,-0.4298304976126,1.8136820001402043e-07,-0.09115403284737,-0.44777478670669996,-0.42279559255790006,0.35662075385932995,0.07004414038856811,0.8879181662859439,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\plaquette\replica_1\h_0p01\D_6_chi_72_energy_magnetization_correlation.txt,plaquette,1,0.01,0.3,6,72,-0.4265537389795,2.083869999891519e-07,-0.11720092502790001,-0.45148627512355,-0.4005046575908,0.33428535009564997,0.15250927842982795,0.7398946878533158,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\plaquette\replica_1\h_0p0\D_6_chi_72_energy_magnetization_correlation.txt,plaquette,1,0.0,0.3,6,72,-0.4239100655205,4.783810003683442e-08,-0.24265553733674997,-0.4927722339417,-0.24229469403145,0.25047753991025,0.9985593785956647,-0.9978359577983024,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\rank-split\replica_1\h_0p08\D_6_chi_72_energy_magnetization_correlation.txt,rank-split,1,0.08,0.3,6,72,-0.440371031325,4.1525180000112627e-07,-0.5776518109459,-0.08174832845903,-0.28226131586615,0.49590348248687,0.5956612637572495,-0.21436243982655262,three-distinct/mixed,26.0
