J2,D,branch,replica,field,status,chi,hours_budget,stage_directory
0.3,7,plaquette,1,0.0,observation+checkpoint,91,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\plaquette\replica_1\h_0p0
0.3,7,dimer-plaquette,1,0.08,observation+checkpoint,91,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\dimer-plaquette\replica_1\h_0p08
0.3,7,dimer-plaquette,1,0.04,observation+checkpoint,91,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\dimer-plaquette\replica_1\h_0p04
0.3,7,dimer-plaquette,1,0.02,observation+checkpoint,91,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\dimer-plaquette\replica_1\h_0p02
0.3,7,dimer-plaquette,1,0.01,observation+checkpoint,91,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\dimer-plaquette\replica_1\h_0p01
0.3,7,dimer-plaquette,1,0.0,observation+checkpoint,91,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\dimer-plaquette\replica_1\h_0p0
0.3,7,rank-split,1,0.08,observation+checkpoint,91,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p08
0.3,7,rank-split,1,0.04,observation+checkpoint,91,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p04
0.3,7,rank-split,1,0.02,observation+checkpoint,91,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p02
0.3,7,rank-split,1,0.01,observation+checkpoint,91,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p01
0.3,7,rank-split,1,0.0,observation+checkpoint,91,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p0
0.3,8,plaquette,1,0.08,observation+checkpoint,104,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\plaquette\replica_1\h_0p08
0.3,8,plaquette,1,0.04,observation+checkpoint,104,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\plaquette\replica_1\h_0p04
0.3,8,plaquette,1,0.02,checkpoint_only,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\plaquette\replica_1\h_0p02
0.3,8,plaquette,1,0.01,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_unknown\plaquette\replica_1\h_0p01
0.3,8,plaquette,1,0.0,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_unknown\plaquette\replica_1\h_0p0
0.3,8,dimer-plaquette,1,0.08,observation+checkpoint,104,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p08
0.3,8,dimer-plaquette,1,0.04,observation+checkpoint,104,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p04
0.3,8,dimer-plaquette,1,0.02,observation+checkpoint,104,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p02
0.3,8,dimer-plaquette,1,0.01,observation+checkpoint,104,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p01
0.3,8,dimer-plaquette,1,0.0,checkpoint_only,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p0
0.3,8,rank-split,1,0.08,observation+checkpoint,104,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\rank-split\replica_1\h_0p08
0.3,8,rank-split,1,0.04,observation+checkpoint,104,26.0,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\rank-split\replica_1\h_0p04
0.3,8,rank-split,1,0.02,checkpoint_only,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\rank-split\replica_1\h_0p02
0.3,8,rank-split,1,0.01,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_unknown\rank-split\replica_1\h_0p01
0.3,8,rank-split,1,0.0,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_unknown\rank-split\replica_1\h_0p0
0.3,9,plaquette,1,0.08,checkpoint_only,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_0\plaquette\replica_1\h_0p08
0.3,9,plaquette,1,0.04,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_unknown\plaquette\replica_1\h_0p04
0.3,9,plaquette,1,0.02,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_unknown\plaquette\replica_1\h_0p02
0.3,9,plaquette,1,0.01,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_unknown\plaquette\replica_1\h_0p01
0.3,9,plaquette,1,0.0,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_unknown\plaquette\replica_1\h_0p0
0.3,9,dimer-plaquette,1,0.08,checkpoint_only,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_0\dimer-plaquette\replica_1\h_0p08
0.3,9,dimer-plaquette,1,0.04,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_unknown\dimer-plaquette\replica_1\h_0p04
0.3,9,dimer-plaquette,1,0.02,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_unknown\dimer-plaquette\replica_1\h_0p02
0.3,9,dimer-plaquette,1,0.01,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_unknown\dimer-plaquette\replica_1\h_0p01
0.3,9,dimer-plaquette,1,0.0,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_unknown\dimer-plaquette\replica_1\h_0p0
0.3,9,rank-split,1,0.08,checkpoint_only,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_0\rank-split\replica_1\h_0p08
0.3,9,rank-split,1,0.04,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_unknown\rank-split\replica_1\h_0p04
0.3,9,rank-split,1,0.02,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_unknown\rank-split\replica_1\h_0p02
0.3,9,rank-split,1,0.01,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_unknown\rank-split\replica_1\h_0p01
0.3,9,rank-split,1,0.0,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_unknown\rank-split\replica_1\h_0p0
0.3,10,plaquette,1,0.08,checkpoint_only,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_0\plaquette\replica_1\h_0p08
0.3,10,plaquette,1,0.04,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_unknown\plaquette\replica_1\h_0p04
0.3,10,plaquette,1,0.02,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_unknown\plaquette\replica_1\h_0p02
0.3,10,plaquette,1,0.01,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_unknown\plaquette\replica_1\h_0p01
0.3,10,plaquette,1,0.0,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_unknown\plaquette\replica_1\h_0p0
0.3,10,dimer-plaquette,1,0.08,checkpoint_only,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_0\dimer-plaquette\replica_1\h_0p08
0.3,10,dimer-plaquette,1,0.04,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_unknown\dimer-plaquette\replica_1\h_0p04
0.3,10,dimer-plaquette,1,0.02,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_unknown\dimer-plaquette\replica_1\h_0p02
0.3,10,dimer-plaquette,1,0.01,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_unknown\dimer-plaquette\replica_1\h_0p01
0.3,10,dimer-plaquette,1,0.0,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_unknown\dimer-plaquette\replica_1\h_0p0
0.3,10,rank-split,1,0.08,checkpoint_only,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_0\rank-split\replica_1\h_0p08
0.3,10,rank-split,1,0.04,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_unknown\rank-split\replica_1\h_0p04
0.3,10,rank-split,1,0.02,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_unknown\rank-split\replica_1\h_0p02
0.3,10,rank-split,1,0.01,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_unknown\rank-split\replica_1\h_0p01
0.3,10,rank-split,1,0.0,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_unknown\rank-split\replica_1\h_0p0
