J2,D,E_plaquette,E_dimer,E_rank_split,excess_plaquette,excess_dimer,excess_rank_split,lowest_source,lowest_endpoint_texture,gap_second_minus_best,numerical_resolution,gap_over_resolution,plaquette_middle_fraction,dimer_middle_fraction,rank_split_middle_fraction,plaquette_clock_z6,dimer_clock_z6,rank_split_clock_z6,plaquette_texture,dimer_texture,rank_split_texture,assessment
0.3,5,-0.4228586872053,-0.422858174187,-0.422858252188,0.0,5.130183000079391e-07,4.3501730001560546e-07,plaquette,dimer-plaquette,4.3501730001560546e-07,6.05870000003339e-06,0.0718004357392193,0.9183268700968961,0.9638789680097688,0.9414067644255034,-0.8680293555482103,-0.9439084867428087,-0.9071615561333662,dimer-plaquette,dimer-plaquette,dimer-plaquette,SAME ENDPOINT TEXTURE (dimer-plaquette); source-energy gaps do not compare distinct phases
0.3,6,-0.4239100655205,-0.4238934590345,-0.4238938710936,0.0,1.6606485999992593e-05,1.6194426899984737e-05,plaquette,dimer-plaquette,1.6194426899984737e-05,1e-06,16.194426899984737,0.9985593785956647,0.9960785311510781,0.9894629521033457,-0.9978359577983024,-0.9940947901537437,-0.984029054009331,dimer-plaquette,dimer-plaquette,dimer-plaquette,SAME ENDPOINT TEXTURE (dimer-plaquette); source-energy gaps do not compare distinct phases
0.3,7,-0.4242746696872,-0.4242753728965,-0.4242753468306,7.032093000125528e-07,0.0,2.6065900049498936e-08,dimer-plaquette,dimer-plaquette,2.6065900049498936e-08,1e-06,0.026065900049498936,0.6297925684334494,0.9980818190604885,0.9977504698788576,-0.28984677898374706,-0.9971172165213472,-0.9966181256231281,three-distinct/mixed,dimer-plaquette,dimer-plaquette,UNRESOLVED: lowest two sources within 3x numerical resolution
