seed_id,seed_texture,D,chi,J2,direction,insurance,is_seed,rank1,rank1_error,rank2,rank2_error,rank3,rank3_error,observation
s004,dimer-plaquette,8,104,0.26,left,1,False,-0.44273123151915006,5.631494500168976e-07,-0.28482835056315,4.4651292499808815e-06,-0.28060079420504996,2.895222750015636e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s004_J2_0p3_D_8_dimer-plaquette\left\insurance_1\J2_0p26\D_8_chi_104_energy_magnetization_correlation.txt
s004,dimer-plaquette,8,104,0.265,left,1,False,-0.4481813653294,8.870225999824122e-07,-0.28104829360340006,3.5897483000035812e-06,-0.27488375416055,2.6720722500206406e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s004_J2_0p3_D_8_dimer-plaquette\left\insurance_1\J2_0p265\D_8_chi_104_energy_magnetization_correlation.txt
s004,dimer-plaquette,8,104,0.27,left,1,False,-0.45665793571015006,8.825704500003972e-07,-0.27158199467210004,1.1748457000027024e-06,-0.2710246708997999,1.6424338999954102e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s004_J2_0p3_D_8_dimer-plaquette\left\insurance_1\J2_0p27\D_8_chi_104_energy_magnetization_correlation.txt
s004,dimer-plaquette,8,104,0.275,left,1,False,-0.4603078605619,9.794972999910279e-07,-0.2681093653981,1.4965965000057757e-06,-0.26692992249875,1.1461863500261682e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s004_J2_0p3_D_8_dimer-plaquette\left\insurance_1\J2_0p275\D_8_chi_104_energy_magnetization_correlation.txt
s004,dimer-plaquette,8,104,0.28,left,1,False,-0.4655196571213,1.3388776000100577e-06,-0.26314749612465,3.660825499962606e-07,-0.26220012581630003,9.439149999956875e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s004_J2_0p3_D_8_dimer-plaquette\left\insurance_1\J2_0p28\D_8_chi_104_energy_magnetization_correlation.txt
s004,dimer-plaquette,8,104,0.29,left,1,False,-0.47115116076439995,1.578582299988085e-06,-0.25627593919354996,3.788338499843835e-07,-0.25546535388325003,7.239054500007837e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s004_J2_0p3_D_8_dimer-plaquette\left\insurance_1\J2_0p29\D_8_chi_104_energy_magnetization_correlation.txt
s004,dimer-plaquette,8,104,0.27,left,2,False,-0.45564296069865,6.944335499969867e-07,-0.27307730217139997,1.9005539999839003e-06,-0.27076174476104997,1.5849360499864409e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s004_J2_0p3_D_8_dimer-plaquette\left\insurance_2\J2_0p27\D_8_chi_104_energy_magnetization_correlation.txt
s004,dimer-plaquette,8,104,0.275,left,2,False,-0.45931265343945,1.060132750002607e-06,-0.26920445846589997,2.0100805999956344e-06,-0.2670656048415,1.4173751999857489e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s004_J2_0p3_D_8_dimer-plaquette\left\insurance_2\J2_0p275\D_8_chi_104_energy_magnetization_correlation.txt
s004,dimer-plaquette,8,104,0.28,left,2,False,-0.4655742349109,1.2645090000096282e-06,-0.26320037367885,7.263585000139017e-08,-0.26208399224105,9.61723049974772e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s004_J2_0p3_D_8_dimer-plaquette\left\insurance_2\J2_0p28\D_8_chi_104_energy_magnetization_correlation.txt
s004,dimer-plaquette,8,104,0.29,left,2,False,-0.471192058475,1.5664866999942628e-06,-0.25616587300300003,3.5192779998527435e-07,-0.2555268490988,7.007722000185179e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s004_J2_0p3_D_8_dimer-plaquette\left\insurance_2\J2_0p29\D_8_chi_104_energy_magnetization_correlation.txt
s004,dimer-plaquette,8,104,0.31,right,1,False,-0.48015240241124996,1.1872655499844953e-06,-0.24346596841244997,1.8786434999307214e-07,-0.24281682132525004,1.3220858500057053e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s004_J2_0p3_D_8_dimer-plaquette\right\insurance_1\J2_0p31\D_8_chi_104_energy_magnetization_correlation.txt
s004,dimer-plaquette,8,104,0.32,right,1,False,-0.48420248924810005,2.4298263999744663e-06,-0.23860761912499998,3.660900599999905e-06,-0.23474438416955,6.700861499980837e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s004_J2_0p3_D_8_dimer-plaquette\right\insurance_1\J2_0p32\D_8_chi_104_energy_magnetization_correlation.txt
s004,dimer-plaquette,8,104,0.31,right,2,False,-0.48017664631560003,1.190834600012236e-06,-0.24328297504755,1.9313924999597718e-07,-0.24296269265445,1.3164121500097714e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s004_J2_0p3_D_8_dimer-plaquette\right\insurance_2\J2_0p31\D_8_chi_104_energy_magnetization_correlation.txt
s004,dimer-plaquette,8,104,0.32,right,2,False,-0.4841779980807999,1.2583239999974793e-06,-0.2377002857534,2.265270300005895e-06,-0.23572983674145,1.1039551500030553e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s004_J2_0p3_D_8_dimer-plaquette\right\insurance_2\J2_0p32\D_8_chi_104_energy_magnetization_correlation.txt
s004,dimer-plaquette,8,104,0.3,seed,0,True,-0.4764076250642,1.5623302000167259e-06,-0.24914865990995003,1.2656208500105848e-06,-0.249070925384,3.235097000009457e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCJ2SeedContinuationIzar\seeds\s004\observation.txt
s003,plaquette,8,104,0.26,left,1,False,-0.3841773542898,1.5707048000024315e-06,-0.3814362166858,5.445394199998788e-06,-0.24352014640525,1.372674750005354e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s003_J2_0p28_D_8_plaquette\left\insurance_1\J2_0p26\D_8_chi_104_energy_magnetization_correlation.txt
s003,plaquette,8,104,0.265,left,1,False,-0.3888331716397,2.1243819000038577e-06,-0.3845641437147,5.911708899991598e-06,-0.2314653615684,6.93081600000589e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s003_J2_0p28_D_8_plaquette\left\insurance_1\J2_0p265\D_8_chi_104_energy_magnetization_correlation.txt
s003,plaquette,8,104,0.27,left,1,False,-0.39269330674065,1.0450120500049564e-06,-0.38880852808844996,3.7239981499903596e-06,-0.21906696001405002,5.525306499970518e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s003_J2_0p28_D_8_plaquette\left\insurance_1\J2_0p27\D_8_chi_104_energy_magnetization_correlation.txt
s003,plaquette,8,104,0.275,left,1,False,-0.3943390656163999,7.569139000018765e-07,-0.39052583481509995,4.073466299991946e-06,-0.21181225101835002,1.129714450001651e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s003_J2_0p28_D_8_plaquette\left\insurance_1\J2_0p275\D_8_chi_104_energy_magnetization_correlation.txt
s003,plaquette,8,104,0.26,left,2,False,-0.38364842388930004,1.6468525000090663e-06,-0.38139875933385,7.822712949995259e-06,-0.24414543378945,2.0510617499969186e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s003_J2_0p28_D_8_plaquette\left\insurance_2\J2_0p26\D_8_chi_104_energy_magnetization_correlation.txt
s003,plaquette,8,104,0.265,left,2,False,-0.38842372784690005,1.5186685000112554e-06,-0.3865732039068,8.1221893000194e-06,-0.22972205979524998,2.382267649994607e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s003_J2_0p28_D_8_plaquette\left\insurance_2\J2_0p265\D_8_chi_104_energy_magnetization_correlation.txt
s003,plaquette,8,104,0.27,left,2,False,-0.39088243280209994,1.989806000024519e-06,-0.38822456479575,8.467620549984511e-06,-0.22173253195815001,1.6241506500119796e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s003_J2_0p28_D_8_plaquette\left\insurance_2\J2_0p27\D_8_chi_104_energy_magnetization_correlation.txt
s003,plaquette,8,104,0.275,left,2,False,-0.39430124116674997,7.698442499870506e-07,-0.39053423774734997,4.07002075000773e-06,-0.2118322250262,1.1470346999997716e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s003_J2_0p28_D_8_plaquette\left\insurance_2\J2_0p275\D_8_chi_104_energy_magnetization_correlation.txt
s003,plaquette,8,104,0.29,right,1,False,-0.3985538224094,1.1171700000089935e-06,-0.39422105982754996,3.6742908499920457e-06,-0.19181983523754997,1.6829705500043257e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s003_J2_0p28_D_8_plaquette\right\insurance_1\J2_0p29\D_8_chi_104_energy_magnetization_correlation.txt
s003,plaquette,8,104,0.3,right,1,False,-0.40097293220104996,1.01246545000655e-06,-0.39620938905665004,1.7874893500080535e-06,-0.17902446086954996,1.1947478500001774e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s003_J2_0p28_D_8_plaquette\right\insurance_1\J2_0p30\D_8_chi_104_energy_magnetization_correlation.txt
