seed_id,seed_texture,D,chi,J2,direction,insurance,is_seed,rank1,rank1_error,rank2,rank2_error,rank3,rank3_error,observation
s002,dimer-plaquette,7,91,0.31,right,2,False,-0.49385587556675,6.349167499808406e-07,-0.23679619540584998,6.47071149995071e-07,-0.23665900004399998,6.864956000052213e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s002_J2_0p3_D_7_dimer-plaquette\right\insurance_2\J2_0p31\D_7_chi_91_energy_magnetization_correlation.txt
s002,dimer-plaquette,7,91,0.32,right,2,False,-0.49761050096520004,2.824917000043836e-07,-0.23153004835994997,7.759834499965201e-07,-0.23011936282405002,9.717625000515984e-08,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s002_J2_0p3_D_7_dimer-plaquette\right\insurance_2\J2_0p32\D_7_chi_91_energy_magnetization_correlation.txt
s002,dimer-plaquette,7,91,0.3,seed,0,True,-0.48946517036699994,2.8648229999372887e-07,-0.24312316398795,1.163194500025666e-07,-0.2426497273095,3.331809999979063e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCJ2SeedContinuationIzar\seeds\s002\observation.txt
s001,plaquette,7,91,0.26,left,1,False,-0.3924463714244,4.882694999985837e-07,-0.3919422028187,1.7240566000109592e-06,-0.22442336668285,1.3771034500092982e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\left\insurance_1\J2_0p26\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.265,left,1,False,-0.3947682309452,4.5634139997363654e-07,-0.39431217432615,1.996568250006714e-06,-0.21588715296844999,1.6368214998674357e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\left\insurance_1\J2_0p265\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.27,left,1,False,-0.39673838426585,1.9391307500005173e-06,-0.39649256808,1.462650001116117e-08,-0.20779030533555,5.506102499913678e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\left\insurance_1\J2_0p27\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.275,left,1,False,-0.3986020835791,3.051067699988419e-06,-0.39802792646625,1.504565000365332e-08,-0.20044198446035,9.461789499953799e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\left\insurance_1\J2_0p275\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.26,left,2,False,-0.39233905498465,4.869306499954984e-07,-0.39171786613615,1.9826836499814426e-06,-0.22481332310490001,1.3344256000052956e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\left\insurance_2\J2_0p26\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.265,left,2,False,-0.39490102452395,4.658541500057733e-07,-0.39436569133005,2.0541247500172055e-06,-0.21566856654754998,1.3326835000826431e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\left\insurance_2\J2_0p265\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.27,left,2,False,-0.3966884841133,2.077349199991474e-06,-0.39660814727759997,3.4940399989968896e-08,-0.20774112921090002,5.996671999936032e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\left\insurance_2\J2_0p27\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.275,left,2,False,-0.39857666182035006,3.0258391500170845e-06,-0.39784313668285004,2.247915001363232e-08,-0.20068838868865,9.99601249995763e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\left\insurance_2\J2_0p275\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.29,right,1,False,-0.40237738618880003,1.8283880001690456e-07,-0.40210641950829995,3.9581419999934475e-06,-0.18088976296735002,2.3717175000326218e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\right\insurance_1\J2_0p29\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.3,right,1,False,-0.40481224734055,2.6410424999734344e-07,-0.40460810005850006,3.832348900001392e-06,-0.16774964757214997,2.8075354999157476e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\right\insurance_1\J2_0p30\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.31,right,1,False,-0.40734018941135,1.667358349999315e-06,-0.40634882686765,4.638064150019883e-06,-0.15514080413315,3.206049499909769e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\right\insurance_1\J2_0p31\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.32,right,1,False,-0.40958882130955,1.4088330499983928e-06,-0.4076119592246,4.8004590000039205e-06,-0.14325045644465004,5.145929500016688e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\right\insurance_1\J2_0p32\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.29,right,2,False,-0.40234560701014993,1.8905915000200224e-07,-0.40206458241384996,4.014719750006224e-06,-0.18096255601950004,2.2943400000696723e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\right\insurance_2\J2_0p29\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.3,right,2,False,-0.4051567789982,5.451471999928792e-07,-0.40435438456924994,4.1444463499962225e-06,-0.16757591258799998,1.3662840001038568e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\right\insurance_2\J2_0p30\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.31,right,2,False,-0.40723576966935005,1.7483795499984023e-06,-0.4062998342249,4.848124900008743e-06,-0.1552694390284,3.826723000005528e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\right\insurance_2\J2_0p31\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.32,right,2,False,-0.40889523882210005,6.75352699985865e-07,-0.40866738103140005,4.879342799996023e-06,-0.142517216172,3.9150309999458344e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s001_J2_0p28_D_7_plaquette\right\insurance_2\J2_0p32\D_7_chi_91_energy_magnetization_correlation.txt
s001,plaquette,7,91,0.28,seed,0,True,-0.3998504474505,3.5653590000073176e-06,-0.39947187419195,6.086865000920483e-08,-0.19395787386095,7.912050500047396e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCJ2SeedContinuationIzar\seeds\s001\observation.txt
