seed_id,seed_texture,D,chi,J2,direction,insurance,is_seed,rank1,rank1_error,rank2,rank2_error,rank3,rank3_error,observation
s101,dimer-plaquette,9,108,0.265,left,1,False,-0.36910106290864997,5.108793550007151e-06,-0.31934014469445,8.844343150016254e-06,-0.31931255552335,5.273447950010501e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s101_J2_0p28_D_9_dimer-plaquette\left\insurance_1\J2_0p265\D_9_chi_108_energy_magnetization_correlation.txt
s101,dimer-plaquette,9,108,0.27,left,1,False,-0.37632374876650004,5.7055581000053915e-06,-0.31392671780410003,9.151399000012496e-06,-0.31362806613315003,5.359075949978864e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s101_J2_0p28_D_9_dimer-plaquette\left\insurance_1\J2_0p27\D_9_chi_108_energy_magnetization_correlation.txt
s006,dimer-plaquette,9,108,0.275,left,1,False,-0.4404758244213,4.322652739999211e-05,-0.27989009862245,6.13770495000443e-06,-0.2648307228393,4.316907000007086e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s006_J2_0p33_D_9_dimer-plaquette\left\insurance_1\J2_0p275\D_9_chi_108_energy_magnetization_correlation.txt
s101,dimer-plaquette,9,108,0.275,left,1,False,-0.4079656707847001,9.557249299990689e-06,-0.29818805426545,4.856985649975831e-06,-0.29251989602135,4.732914750005257e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s101_J2_0p28_D_9_dimer-plaquette\left\insurance_1\J2_0p275\D_9_chi_108_energy_magnetization_correlation.txt
s006,dimer-plaquette,9,108,0.28,left,1,False,-0.4404758679014,4.322800170000751e-05,-0.27989006281050005,6.132071699999075e-06,-0.26483069995445,4.318032050004694e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s006_J2_0p33_D_9_dimer-plaquette\left\insurance_1\J2_0p28\D_9_chi_108_energy_magnetization_correlation.txt
s006,dimer-plaquette,9,108,0.29,left,1,False,-0.4404758696992999,4.32284111000214e-05,-0.27989006214914997,6.132415249993084e-06,-0.26483069968844997,4.3179998499842664e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s006_J2_0p33_D_9_dimer-plaquette\left\insurance_1\J2_0p29\D_9_chi_108_energy_magnetization_correlation.txt
s006,dimer-plaquette,9,108,0.3,left,1,False,-0.45016911317975,4.1787353949995776e-05,-0.27443206019435,3.5318215499957617e-06,-0.25235920239459997,4.521181400013452e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s006_J2_0p33_D_9_dimer-plaquette\left\insurance_1\J2_0p30\D_9_chi_108_energy_magnetization_correlation.txt
s006,dimer-plaquette,9,108,0.31,left,1,False,-0.4620674435271001,4.6343356399997086e-05,-0.25672177922719996,4.891974799997589e-06,-0.24938244654780004,8.006769999790997e-08,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s006_J2_0p33_D_9_dimer-plaquette\left\insurance_1\J2_0p31\D_9_chi_108_energy_magnetization_correlation.txt
s006,dimer-plaquette,9,108,0.32,left,1,False,-0.47161979960015005,4.680426934999815e-05,-0.24758134473579999,3.974717799989924e-06,-0.2398601755823,2.4622889999992292e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s006_J2_0p33_D_9_dimer-plaquette\left\insurance_1\J2_0p32\D_9_chi_108_energy_magnetization_correlation.txt
s006,dimer-plaquette,9,108,0.29,left,2,False,-0.4393831650127,4.570227800002047e-05,-0.27791036930595,7.198774649996852e-06,-0.26830112503709996,4.76394869999841e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s006_J2_0p33_D_9_dimer-plaquette\left\insurance_2\J2_0p29\D_9_chi_108_energy_magnetization_correlation.txt
