J2,target_D,seed_D,seed_relative_path,sha256,G0,G1,G2,middle_fraction,clock_z6,seed_texture,orientation,source_path
0.28,11,11,seeds/J2_0p28/D_11/tensor_best.pt,27f03f577abaaf18fcc67f1b56bda633c2e9e6fd4fc039959c95d5f505d989e7,-0.290643757145,-0.3410789188706,-0.3636723918699,0.309378274486576,0.421972328962487,three-distinct/mixed,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_11\tensor_best.pt
0.265,6,6,seeds/J2_0p265/D_6/tensor_best.pt,2d8991856f3041f2d19a4337ff1118b587a53a13ec8b5a24f8017ce0e5246e14,-0.38608523812085,-0.38414312592505,-0.2400271701751,0.0132968498290785,0.979791866899012,plaquette,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p265\2tensor_twoC3\D_6\tensor_best.pt
0.265,7,7,seeds/J2_0p265/D_7/tensor_best.pt,a106a35011c09ec8209da63172104188f9ca0ab49c80cc3891e2f262fc430739,-0.27826899901295,-0.36556853995425,-0.36604659236535,0.0054461781514185,0.991786403026496,plaquette,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p265\2tensor_twoC3\D_7\tensor_best.pt
0.265,8,8,seeds/J2_0p265/D_8/tensor_best.pt,30c7c86b2ac9a2751a945f566eb645b7fc830d35cf2125a75b50d8f20f15e9a9,-0.33755365381435,-0.34138744342815,-0.33126527876355,0.378751950875473,0.271025632118435,three-distinct/mixed,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p265\2tensor_twoC3\D_8\tensor_best.pt
0.265,9,9,seeds/J2_0p265/D_9/tensor_best.pt,b5e5d71e54c3c0f72753ca66558e9a61273230523b98c0ad22aad3032dcef23b,-0.33525238156955,-0.33916005971045,-0.3338830628904,0.740511748283175,-0.527238814841676,three-distinct/mixed,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p265\2tensor_twoC3\D_9\tensor_best.pt
0.265,10,10,seeds/J2_0p265/D_10/tensor_best.pt,490ceca3986a914960c16783b5fba892f60d3ca9f4faa2c5302c12d0297d090c,-0.33411208169125,-0.3359434567534,-0.33781682969845,0.505668115998486,-0.0127530788940086,three-distinct/mixed,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p265\2tensor_twoC3\D_10\tensor_best.pt
0.29,6,6,seeds/J2_0p29/D_6/tensor_best.pt,6eaaaa5888010c646af776289ff3244da5a8826db647ce0e21b4fc143b339f4c,-0.24902980949565,-0.24912820203325,-0.4871036708928,0.999586714236403,-0.999379815217512,dimer-plaquette,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_6\tensor_best.pt
0.29,7,7,seeds/J2_0p29/D_7/tensor_best.pt,9adcc028d3219c48187426a05201fa563770a25e6aff87bedc313a57355a879e,-0.47914727455005,-0.23195352816285,-0.27271789419725,0.835091434835299,-0.716329561153354,dimer-plaquette,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_7\tensor_best.pt
0.29,8,8,seeds/J2_0p29/D_8/tensor_best.pt,9157ad6a37a08e1ee3ec420850877f69bb686068012ea571e7f6f8d7744f3ae3,-0.4152480571889,-0.37408820891945,-0.19548410820635,0.187291175190514,0.673016057661519,plaquette,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_8\tensor_best.pt
0.29,9,9,seeds/J2_0p29/D_9/tensor_best.pt,07b925ade9b6291840d6b275b975424b28b69e4778392569b8f3dfde9ab72d5e,-0.35857979275615,-0.2267067553111,-0.40040651820875,0.2407989783915,0.565787834021116,plaquette,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_9\tensor_best.pt
0.29,10,10,seeds/J2_0p29/D_10/tensor_best.pt,2cb237d174ad07f01893ddcba35627ada9442c9ec62f2e11387e0a4b858bc03c,-0.3846884650363,-0.37373016543035,-0.22722628029545,0.0695932145485286,0.888682409846587,plaquette,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_10\tensor_best.pt
0.29,11,11,seeds/J2_0p29/D_11/tensor_best.pt,5ea65bb6e2968621e7ad54bb65d06b188895cfbcad30b47c6c1f6cf20b161002,-0.4045695440132,-0.23359238971925,-0.3470015180324,0.336700106037717,0.363070066761221,three-distinct/mixed,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_11\tensor_best.pt
0.26,6,6,seeds/J2_0p26/D_6/tensor_best.pt,df82a87b0f026999055cf73ccd23d29fa936d2b728cdd269e09f3afb1c3732c0,-0.36440386671305,-0.36946001015475,-0.28324782805795,0.058647668098957,0.907070895918001,plaquette,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_6\tensor_best.pt
0.26,7,7,seeds/J2_0p26/D_7/tensor_best.pt,4810bc1beb19a85fa0f9b06556ca262f7bf4a882285fa6b8eb8a0096ad1c0a5e,-0.33580842655045,-0.34696984024445,-0.3327930310722,0.787300834650972,-0.622712558667593,dimer-plaquette,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_7\tensor_best.pt
0.26,8,8,seeds/J2_0p26/D_8/tensor_best.pt,6f5ae6fca3899c565155ba8c7206bff8a89949dacf020c30e87955b5524ccc2c,-0.33833265633615,-0.3361207828042,-0.3393040874213,0.305164350257833,0.430984069378538,three-distinct/mixed,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_8\tensor_best.pt
0.26,9,9,seeds/J2_0p26/D_9/tensor_best.pt,04793975ff7af2d705a9db120e63f2fce595aa8c5c86fef34b242246d42d120e,-0.33741683763615,-0.3360551663381,-0.3384995288325,0.4429339751491,0.12821271862463,three-distinct/mixed,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_9\tensor_best.pt
0.26,10,10,seeds/J2_0p26/D_10/tensor_best.pt,472c4067adf6f1ed852bd9b662a9da012c30ca926812d2cccc6197ade07d2362,-0.33810357039,-0.33676055948835,-0.3368023519069,0.968881549287045,-0.951899920768316,dimer-plaquette,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_10\tensor_best.pt
0.30,6,6,seeds/J2_0p30/D_6/tensor_best.pt,6762e69e2bd5a746b2efd748d849bbd4e9b0cfdc2f077dd4696ffd0a5216446d,-0.4927905037493,-0.24152967507595,-0.2433962906857,0.99257100432405,-0.988774131527044,dimer-plaquette,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_6\tensor_best.pt
0.30,7,7,seeds/J2_0p30/D_7/tensor_best.pt,c1f9d6ba897fb7d5e8395105fa87c675147db4cb503e030f0e536a152c751ea1,-0.4756805434383,-0.30068498572905,-0.19942370136645,0.63345239305869,-0.297891158487889,three-distinct/mixed,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_7\tensor_best.pt
0.30,8,8,seeds/J2_0p30/D_8/tensor_best.pt,a3d49e2783d6caa84297206c5bf280876d163a8fda54c61734c1d0164a4ff698,-0.24914865990995,-0.249070925384,-0.4764076250642,0.99965806433339,-0.999486921160065,dimer-plaquette,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_8\tensor_best.pt
0.30,9,9,seeds/J2_0p30/D_9/tensor_best.pt,3de89a840ee768672146de9f8572c9fb0c230b83d8a17dd702065db05b26896c,-0.20150947044445,-0.38779609943905,-0.3872725273683,0.00281057246875816,0.995772314522065,plaquette,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_9\tensor_best.pt
0.30,10,10,seeds/J2_0p30/D_10/tensor_best.pt,49496805fca7913542768f7aa1e1dd14d9f6a0c4e5b4d9fb620af87456e529f8,-0.20555965008055,-0.3705820601736,-0.4004428344961,0.153223965485025,0.738545004833068,plaquette,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_10\tensor_best.pt
0.30,11,11,seeds/J2_0p30/D_11/tensor_best.pt,c2c18dc2145aedab2c73cbe597a88cdf2c27f8c6e06d79b1924b3c7f0bf6056f,-0.3792472208985,-0.20618344064355,-0.3907296029623,0.0622195656605825,0.901104608991311,plaquette,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_11\tensor_best.pt
0.31,6,6,seeds/J2_0p31/D_6/tensor_best.pt,0dc21cbec2d7047645896035a5467cae2d6fda4d234614f8206a62fa13843063,-0.4981207416984,-0.2344594229224,-0.23768146273815,0.987779626413508,-0.981447258284786,dimer-plaquette,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p31\2tensor_twoC3\D_6\tensor_best.pt
0.31,7,7,seeds/J2_0p31/D_7/tensor_best.pt,32d5d0a49ad7bbc8311046e1cce594b8c4cdc326964bbbd73de8054a07675568,-0.19257501308695,-0.48158142597075,-0.29344140161495,0.650989099094645,-0.336283267563752,three-distinct/mixed,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p31\2tensor_twoC3\D_7\tensor_best.pt
