cluster,branch,J2,D,chi,h,energy_per_site,delta,middle_fraction,clock_z6,texture,rank1,rank2,rank3,rank1_group,rank2_group,rank3_group,gap_1_to_2,gap_2_to_3,chi_energy_shift,hours_budget,path
Izar,plaquette,0.31,8,104,0.08,-0.4524936004352,0.4324690318244251,7.1559084519879934e-06,0.9999892660605119,plaquette,-0.45101937672920006,-0.4510162820204,-0.018550344904774998,2,1,0,3.094708800055468e-06,0.43246593711562503,3.000482000081739e-07,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.31\D_8\orientation_0\plaquette\replica_1\h_0p08\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.31,8,104,0.04,-0.4359679252516,0.38915657154089,0.0022164252896584653,0.9966680041421954,plaquette,-0.44322991341325,-0.44236737694645,-0.054073341872359994,2,1,0,0.0008625364668000124,0.38829403507409,6.964411000121018e-07,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.31\D_8\orientation_0\plaquette\replica_1\h_0p04\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.31,8,104,0.02,-0.4286173631499,0.34469329506018503,0.002174731509265866,0.9967308188356944,plaquette,-0.43257655359290004,-0.4318269382231,-0.087883258532715,2,1,0,0.0007496153698000607,0.343943679690385,2.9465979999865333e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.31\D_8\orientation_0\plaquette\replica_1\h_0p02\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.31,8,104,0.01,-0.4253443693529,0.30797537350015003,0.002261508260820831,0.9966000775456502,plaquette,-0.42268198390525,-0.42198549505395005,-0.1147066104051,2,1,0,0.0006964888512999701,0.30727888464885006,2.245829799962795e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.31\D_8\orientation_0\plaquette\replica_1\h_0p01\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.31,8,104,0.0,-0.4226262413428,0.23617449830345,0.008757982669840852,0.9867486443616378,plaquette,-0.4019207759115,-0.3998523637483,-0.16574627760805,1,2,0,0.002068412163199973,0.23410608614025002,4.279483000024786e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.31\D_8\orientation_0\plaquette\replica_1\h_0p0\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.31,9,108,0.08,-0.4525271695278,0.432003795383365,0.0002406370547226144,0.9996389575725626,plaquette,-0.4509097296613,-0.45080577354034995,-0.018905934277935,0,1,2,0.00010395612095004392,0.43189983926241493,2.3602480999640463e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.31\D_9\orientation_2\plaquette\replica_1\h_0p08\D_9_chi_108_energy_magnetization_correlation.txt
Izar,plaquette,0.31,9,108,0.04,-0.4360432500294,0.38719637266987994,0.00016213390163520426,0.9997567597207061,plaquette,-0.44228597609564996,-0.44222319843705,-0.055089603425769997,0,1,2,6.27776585999662e-05,0.38713359501128,6.939787299986566e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.31\D_9\orientation_2\plaquette\replica_1\h_0p04\D_9_chi_108_energy_magnetization_correlation.txt
Izar,plaquette,0.31,9,108,0.02,-0.4287031598472,0.34260914602462006,0.001657269799094067,0.9975099800383412,plaquette,-0.43170254230715005,-0.43113474651655004,-0.08909339628252999,1,0,2,0.000567795790600012,0.34204135023402005,4.551251399975698e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.31\D_9\orientation_2\plaquette\replica_1\h_0p02\D_9_chi_108_energy_magnetization_correlation.txt
Izar,plaquette,0.31,9,108,0.01,-0.4254733452671,0.3021079500877,0.0054805117898066935,0.9917343429137774,plaquette,-0.4210518712423,-0.41939616506005,-0.1189439211546,1,0,2,0.001655706182249972,0.30045224390545,2.4252995999840543e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.31\D_9\orientation_2\plaquette\replica_1\h_0p01\D_9_chi_108_energy_magnetization_correlation.txt
Izar,plaquette,0.31,9,108,0.0,-0.4228205968837,0.2273145251505,0.11385667116922947,0.8112459438099094,plaquette,-0.40689576575455,-0.3810144906125,-0.17958124060405,1,0,2,0.02588127514205002,0.20143325000844997,6.326673199996691e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.31\D_9\orientation_2\plaquette\replica_1\h_0p0\D_9_chi_108_energy_magnetization_correlation.txt
