path,J2,D,chi,energy_per_site,G0,G1,G2,group_internal_std_max,rank1,rank2,rank3,delta,gap_strong_middle,gap_middle_weak,middle_fraction,clock_z6,texture
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\sym2_free_param\D_2\energy_magnetization_correlation.txt,0.3,2,16,-0.3950449791453,-0.345966260077,-0.34590770988080005,-0.3459077099238333,3.360838505795084e-10,-0.345966260077,-0.3459077099238333,-0.34590770988080005,5.8550196199935733e-05,5.85501531666921e-05,4.303324363519323e-11,0.9999992650196511,-0.9999988975272442,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\sym2_free_param\D_3\energy_magnetization_correlation.txt,0.3,3,24,-0.4168197512945,-0.34028651425466666,-0.3403912253624333,-0.3403911433157167,1.0142157006352245e-06,-0.3403912253624333,-0.3403911433157167,-0.34028651425466666,0.00010471110776666404,8.204671664291396e-08,0.00010462906105002112,0.0007835531338828454,0.9988237498469721,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\sym2_free_param\D_4\energy_magnetization_correlation.txt,0.3,4,36,-0.4195669009438,-0.33187669600095,-0.3318591858031667,-0.3318591686588333,1.1753470695931111e-07,-0.33187669600095,-0.3318591858031667,-0.3318591686588333,1.7527342116685496e-05,1.7510197783288106e-05,1.7144333397389744e-08,0.9990218520707103,-0.9985313438866198,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\sym2_free_param\D_5\energy_magnetization_correlation.txt,0.3,5,50,-0.4223759372555,-0.4914709610598833,-0.24972434828553333,-0.24972670676523334,1.8503678999998233e-06,-0.4914709610598833,-0.24972670676523334,-0.24972434828553333,0.24174661277434997,0.24174425429464996,2.3584797000097968e-06,0.9999902440010516,-0.9999853658588091,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\sym2_free_param\D_6\energy_magnetization_correlation.txt,0.3,6,72,-0.423576782528,-0.16230459020925,-0.40973656182153334,-0.40973664425905,6.185240833357877e-07,-0.40973664425905,-0.40973656182153334,-0.16230459020925,0.24743205404979998,8.24375166463831e-08,0.24743197161228334,3.3317234083903746e-07,0.9999995002413223,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\sym2_free_param\D_7\energy_magnetization_correlation.txt,0.3,7,91,-0.4242553505391,-0.16855962628155,-0.4044224258463667,-0.4044205307209667,1.3255704666703928e-06,-0.4044224258463667,-0.4044205307209667,-0.16855962628155,0.23586279956481668,1.8951253999976991e-06,0.23586090443941668,8.03486350324993e-06,0.9999879476079069,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\sym2_free_param\D_8\energy_magnetization_correlation.txt,0.3,8,104,-0.4246701539827,-0.17843076736326666,-0.39887810875851665,-0.3988780569600833,8.03168175874399e-07,-0.39887810875851665,-0.3988780569600833,-0.17843076736326666,0.22044734139525,5.179843332037137e-08,0.22044728959681667,2.3496964396363311e-07,0.9999996475454506,plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\sym2_free_param\D_9\energy_magnetization_correlation.txt,0.3,9,126,-0.4248614245735,-0.20155166180066666,-0.3875822534826167,-0.38757770759878335,3.1228710517709816e-06,-0.3875822534826167,-0.38757770759878335,-0.20155166180066666,0.18603059168195005,4.545883833362296e-06,0.18602604579811668,2.4436216604278904e-05,0.9999633447794158,plaquette
